name;rect
PLaza Betania;POLYGON((-7882418.42 -3971170.48,-7882418.42 -3971055.82,-7882282.85 -3971055.82,-7882282.85 -3971170.48,-7882418.42 -3971170.48))
H.S.B. Sondajes;POLYGON((-7882294.06 -3962892.31,-7882294.06 -3962746.16,-7882147.91 -3962746.16,-7882147.91 -3962892.31,-7882294.06 -3962892.31))
Cancha Los Jardinas;POLYGON((-7882275.35 -3971042.11,-7882275.35 -3970882.61,-7882116.59 -3970882.61,-7882116.59 -3971042.11,-7882275.35 -3971042.11))
Cementerio Canaán;POLYGON((-7882260.65 -3954348.4,-7882260.65 -3953950.1,-7881521.95 -3953950.1,-7881521.95 -3954348.4,-7882260.65 -3954348.4))
Salon de Asambleas Testigos de Jehova;POLYGON((-7882127.83 -3970449.78,-7882127.83 -3969855.64,-7881513.14 -3969855.64,-7881513.14 -3970449.78,-7882127.83 -3970449.78))
Terminal de Buses Transantiago;POLYGON((-7881977.96 -3963427.48,-7881977.96 -3963185.53,-7881804.77 -3963185.53,-7881804.77 -3963427.48,-7881977.96 -3963427.48))
Cancha;POLYGON((-7881975.8 -3971177.76,-7881975.8 -3971036.6,-7881834.5 -3971036.6,-7881834.5 -3971177.76,-7881975.8 -3971177.76))
Paradero Transantiago;POLYGON((-7881919.39 -3965029.88,-7881919.39 -3964609.83,-7881478.08 -3964609.83,-7881478.08 -3965029.88,-7881919.39 -3965029.88))
Southern Fruit;POLYGON((-7881883.18 -3978422.81,-7881883.18 -3978062.41,-7881463.75 -3978062.41,-7881463.75 -3978422.81,-7881883.18 -3978422.81))
Parque del Sol;POLYGON((-7881855.89 -3971849.35,-7881855.89 -3971508.47,-7881562.92 -3971508.47,-7881562.92 -3971849.35,-7881855.89 -3971849.35))
SALA MURANO;POLYGON((-7881831.05 -3969806.04,-7881831.05 -3969742.74,-7881762.38 -3969742.74,-7881762.38 -3969806.04,-7881831.05 -3969806.04))
Quilicura;POLYGON((-7881824.51 -3947589.07,-7881824.51 -3937604.47,-7868061.52 -3937604.47,-7868061.52 -3947589.07,-7881824.51 -3947589.07))
Parque Municipal Maipu;POLYGON((-7881797.05 -3965334.42,-7881797.05 -3964895.67,-7881399.72 -3964895.67,-7881399.72 -3965334.42,-7881797.05 -3965334.42))
Parque Municipal Maipu;POLYGON((-7881730.34 -3965205.3,-7881730.34 -3965136.64,-7881676.3 -3965136.64,-7881676.3 -3965205.3,-7881730.34 -3965205.3))
Parque Municipal Maipu;POLYGON((-7881702.57 -3965060.19,-7881702.57 -3965029.75,-7881677.79 -3965029.75,-7881677.79 -3965060.19,-7881702.57 -3965060.19))
Parque Municipal Maipu;POLYGON((-7881684.06 -3965062,-7881684.06 -3965019,-7881649.12 -3965019,-7881649.12 -3965062,-7881684.06 -3965062))
Parque Municipal Maipu;POLYGON((-7881659.88 -3965094.54,-7881659.88 -3964947.33,-7881544.03 -3964947.33,-7881544.03 -3965094.54,-7881659.88 -3965094.54))
Mampato;POLYGON((-7881654.92 -3969855.49,-7881654.92 -3969689.05,-7881487.41 -3969689.05,-7881487.41 -3969855.49,-7881654.92 -3969855.49))
Cancha;POLYGON((-7881624.97 -3971033.48,-7881624.97 -3970909.12,-7881502.13 -3970909.12,-7881502.13 -3971033.48,-7881624.97 -3971033.48))
Parque Municipal Maipu;POLYGON((-7881572.39 -3965260.25,-7881572.39 -3965043.78,-7881414.74 -3965043.78,-7881414.74 -3965260.25,-7881572.39 -3965260.25))
Parque Municipal Maipu;POLYGON((-7881544.92 -3965064.37,-7881544.92 -3964915.98,-7881454.75 -3964915.98,-7881454.75 -3965064.37,-7881544.92 -3965064.37))
Bodenor Flexcenter Parque Logístico;POLYGON((-7881434.67 -3952746.94,-7881434.67 -3952001.03,-7880732.39 -3952001.03,-7880732.39 -3952746.94,-7881434.67 -3952746.94))
Parque Ruta 78 - Maipu;POLYGON((-7881344.28 -3965892.55,-7881344.28 -3965193.51,-7881239.3 -3965193.51,-7881239.3 -3965892.55,-7881344.28 -3965892.55))
Cancha Futbol;POLYGON((-7881262.2 -3965003.76,-7881262.2 -3964956.97,-7881227.55 -3964956.97,-7881227.55 -3965003.76,-7881262.2 -3965003.76))
Arturo Merino Benítez;POLYGON((-7881191.91 -3949285,-7881191.91 -3947837.39,-7880116.12 -3947837.39,-7880116.12 -3949285,-7881191.91 -3949285))
Servicio Aereofotogrametrico de la Fuerza Aerea de Chile (SAF);POLYGON((-7881169.67 -3945754.03,-7881169.67 -3945653.41,-7881064.64 -3945653.41,-7881064.64 -3945754.03,-7881169.67 -3945754.03))
Liceo Tecnológico Enrique Kirgberg;POLYGON((-7881108.16 -3965681.09,-7881108.16 -3965609.42,-7880935.28 -3965609.42,-7880935.28 -3965681.09,-7881108.16 -3965681.09))
Liceo Polivalente Paul Harris;POLYGON((-7881090.92 -3970420.44,-7881090.92 -3970255.03,-7880927.29 -3970255.03,-7880927.29 -3970420.44,-7881090.92 -3970420.44))
Plaza Villa Isabel Riquelme;POLYGON((-7881056.31 -3965070.25,-7881056.31 -3964982.97,-7881007.81 -3964982.97,-7881007.81 -3965070.25,-7881056.31 -3965070.25))
Aeropuerto Arturo Merino Benítez;POLYGON((-7881036.74 -3948300.38,-7881036.74 -3947992.16,-7880254.08 -3947992.16,-7880254.08 -3948300.38,-7881036.74 -3948300.38))
Colegio Poliv. Cardenal Carlos Oviedo Ca;POLYGON((-7881029.05 -3963779.04,-7881029.05 -3963664.8,-7880822.25 -3963664.8,-7880822.25 -3963779.04,-7881029.05 -3963779.04))
Aerocardal;POLYGON((-7881008.1 -3947055.36,-7881008.1 -3946968.18,-7880965.89 -3946968.18,-7880965.89 -3947055.36,-7881008.1 -3947055.36))
